year,month,day,name,title,query,share_text,url,alternate_url,high_res_url,high_res_width,high_res_height
2018,3,1,bosnia-herzegovina-independence-day-2018,Bosnia & Herzegovina Independence Day 2018, Bosnia & Herzegovina Independence Day,"Happy Independence Day 2018,  Bosnia & Herzegovina! #GoogleDoodle",//www.google.com/logos/doodles/2018/bosnia-herzegovina-independence-day-2018-5350121284829184.3-law.gif,https://lh3.googleusercontent.com/9AJIxJqL3lknDHQ-0SE8AfX820FMsUpQ3_gjlaew676_eqWNq_4cjd7Rax2ZH5s-245rC6ytpbUjOLAK15DV5btquvTrbmom3pCYwvbP,//www.google.com/logos/doodles/2018/bosnia-herzegovina-independence-day-2018-5350121284829184-2xa.gif,1149.0,460.0
2018,3,2,holi-2018,Holi 2018,Holi,Happy Holi 2018! #GoogleDoodle,//www.google.com/logos/doodles/2018/holi-2018-5209035568578560-l.png,https://lh3.googleusercontent.com/0JPJ8cNoiiR9Sy3Tg79_TZHgpOBgcmn-6k5RXiZ__2s7MCkMEH0liDh3r7z7U67U5Hmj6QgZRwyAYeG7pBFFSDbHriPDdFWtyYVWF7c,//www.google.com/logos/doodles/2018/holi-2018-5209035568578560.3-2x.jpg,1150.0,460.0
2018,3,2,lantern-festival-2018,Lantern Festival 2018,Lantern Festival,Happy Lantern Festival 2018! #GoogleDoodle,//www.google.com/logos/doodles/2018/lantern-festival-2018-6427136544997376-l.png,https://lh3.googleusercontent.com/3F5gg_1hEC6G8pBRHGiw_R3ckeTRwwkZxpfbuCcQu-PL5SPaah4zm0xQQb5zHZYzdvkUQRVfZN1ozW9ymKfqrgNhZUdOF92xpmCH5jdZVA,//www.google.com/logos/doodles/2018/lantern-festival-2018-6427136544997376-2x.jpg,1150.0,460.0
2018,3,3,bulgaria-national-day-2018,Bulgaria National Day 2018,Bulgaria National Day 2018,Bulgaria National Day 2018 #GoogleDoodle,//www.google.com/logos/doodles/2018/bulgaria-national-day-2018-5845620924350464-law.gif,https://lh3.googleusercontent.com/-gtwat01adBjKjytLsgKA9CBADEpwj-zG4LcpO7j00iYzpBW2vvO9qhoNqmpBlfCTOG2xOkgdgJHrOmbNgE4QDLO2qI423ClBv0gzmjY9w,//www.google.com/logos/doodles/2018/bulgaria-national-day-2018-5845620924350464-2xa.gif,1150.0,460.0
2018,3,3,girls-day-2018,Girls' Day 2018,Hinamatsuri,Happy Girls' Day 2018! #GoogleDoodle,//www.google.com/logos/doodles/2018/girls-day-2018-5202534598705152.2-l.png,https://lh3.googleusercontent.com/8UQMaEDQkYJMV_hj4opfZ0zhQ5l5KWGC6zNlsUV_uxaLo5i_2UDfLncFX4_LBaNXHr5laJ1aqC2qNOyMZDW9stog3tXPYA-HN5F_Vso,//www.google.com/logos/doodles/2018/girls-day-2018-5202534598705152-2x.jpg,1000.0,400.0
2018,3,4,italy-elections-2018,Italy Elections 2018,Italian general election,Italy Elections 2018 #GoogleDoodle,//www.google.com/logos/doodles/2018/italian-elections-2018-4533084824272896-l.png,https://lh3.googleusercontent.com/Rvhe_Wewe6JAWPcaivzUs6-XX4alOc2k-kSKYcZ16pZ6lxIxELTyjJaUtoi8h62WYv4mGNYPHuD_e59SRUdEIw_-Wwm6sgcZYRx_y0U,//www.google.com/logos/doodles/2018/italian-elections-2018-4533084824272896-2x.jpg,1000.0,400.0
2018,3,5,celebrating-the-edelweiss-flower,Celebrating the Edelweiss Flower,Edelweiss plant,Celebrating the Edelweiss Flower! #GoogleDoodle,//www.google.com/logos/doodles/2018/celebrating-the-edelweiss-flower-5309361642536960.3-l.png,https://lh3.googleusercontent.com/TI0S0vK0cgI3ykKjvnslDwoZ3sXR7r-8kua1LYYX7896cAhBz_5ILT2eKJHBl6C4ngUOwzG8gjz3uKzZ06D4TAyUP-T2hNYZ9r-V9SUK,//www.google.com/logos/doodles/2018/celebrating-the-edelweiss-flower-5309361642536960-2x.png,1150.0,460.0
2018,3,6,ghana-independence-day-2018,Ghana Independence Day 2018,Ghana Independence Day,"Happy Independence Day 2018, Ghana! #GoogleDoodle",//www.google.com/logos/doodles/2018/ghana-independence-day-2018-6073548530515968.5-law.gif,https://lh3.googleusercontent.com/6uCxtceicGJGXxVr7gts6_xQ2W23q5DGSQV1Pvhj7rhDqDQzSVlV6cL-rTDIadXmvzccbs_qgVv62LyeJAHi7O8eM1YlLeOtZlo1NxM,//www.google.com/logos/doodles/2018/ghana-independence-day-2018-6073548530515968-2xa.gif,1150.0,460.0
2018,3,6,celebrating-semla,Celebrating Semla,Semla,Celebrating Semla! #GoogleDoodle,//www.google.com/logos/doodles/2018/celebrating-semla-6328434505547776-law.gif,https://lh3.googleusercontent.com/28hapMosyREAZ3ubAyJcsl6GjgeF-zOhnVITIAzyITr-nzrW7TMu4_gsmHpEowLxS9kJYM8xzjo82jsTSSRHfarneX8O2UvESc9Np5s,//www.google.com/logos/doodles/2018/celebrating-semla-6328434505547776.3-2xa.gif,1026.0,440.0
2018,3,6,gabriel-garcia-marquezs-91st-birthday,Gabriel García Márquez’s 91st Birthday,Gabriel García Márquez,Gabriel García Márquez’s 91st Birthday! #GoogleDoodle,//www.google.com/logos/doodles/2018/gabriel-garcia-marquezs-91st-birthday-5046026191765504-law.gif,https://lh3.googleusercontent.com/rG8JS9a2DC-ravAwOiTUrZFWO_Jf-YP9pZlsQgQg0egOEljLdj9nxw_vC1cWEegSpBHrTpETRAHgmdplO6Y2xcRNCUBrT-OjiPLvQvU,//www.google.com/logos/doodles/2018/gabriel-garcia-marquezs-91st-birthday-5046026191765504-2xa.gif,1143.0,440.0
